address,coin,fill_count,signed_delta,turnover,is_frozen
0x010461c14e146ac35fe42271bdc1134ee31c703a,GOAT,30,-61879.0,5402.212904,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,STBL,74,-45524.0,4347.161222,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,UMA,65,1788.2,4088.549232,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,VINE,147,235024.0,49753.383431,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ARK,48,403.0,1469.93809,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,NOT,11,495994.0,1758.471348,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BABY,54,-18032.0,1221.50074,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,XAI,7,6297.0,560.140552,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,TRB,42,35.47,1639.78402,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,XPL,71,-3316.0,19125.009766,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BANANA,41,-19.7,1501.29703,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BLAST,11,-1723229.0,872.260537,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,HMSTR,10,2814380.0,509.294456,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ARK,73,-4021.0,2304.64902,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BCH,133,-8.99,34432.47877,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,SUPER,181,52654.0,16512.3842,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ETHFI,100,-6019.0,11098.816185,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,VIRTUAL,100,-6427.4,21290.289708,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,HEMI,127,1024022.0,22337.113247,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,LAYER,92,14284.0,13428.491695,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,IP,81,-738.7,11287.892996,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AAVE,134,-63.59,29237.19367,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,DYDX,98,-22801.2,7678.239485,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,POPCAT,63,-35348.0,6499.375995,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,APE,67,-8202.7,5807.442235,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,XMR,165,6.823,56282.85694,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,W,84,31876.8,4611.608267,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ZRO,145,169.9,26945.76037,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,UNI,74,409.5,11437.54047,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,HYPE,174,-308.19,60649.69047,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,NIL,344,172097.0,49395.491324,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,CHIP,103,31481.0,17691.824001,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SUSHI,97,1054.7,9648.646167,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,STBL,70,-45294.0,4688.486427,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AVAX,80,-165.6,10908.288674,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,LTC,97,40.02,22666.14651,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,SEI,89,-9662.0,9780.262262,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,FARTCOIN,98,-16494.3,23724.562813,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BNB,131,-3.251,22365.00175,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,INJ,119,853.2,29917.07959,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,COMP,113,81.54,8102.55341,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,NEAR,552,-5957.3,161055.07921,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,WLD,242,1837.9,62092.820437,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,BTC,232,-0.00785,133392.18289,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,JTO,89,-11662.0,19006.33966,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,PYTH,102,16471.0,12143.011564,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ADA,54,4266.0,9095.36425,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,DASH,124,89.37,29120.20365,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ATOM,87,1199.53,15993.041201,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,LDO,89,-8410.0,8782.18468,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,XLM,109,19615.0,13752.64788,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,APEX,75,-17671.0,16702.57364,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,TRX,99,-4921.0,15467.69616,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,PROVE,113,30695.0,18835.77127,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ARB,88,10155.0,15001.951115,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,SOL,106,-31.63,46191.69072,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,JUP,110,-33027.0,21882.88169,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,PENGU,311,941600.0,82389.47331,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,DYM,156,-138391.4,18993.502135,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,NEO,73,-840.02,3181.998731,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SYRUP,115,18446.0,19333.40305,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,POLYX,94,99985.0,6334.219036,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ZK,84,-117829.0,3255.855312,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,PURR,97,65549.0,14740.75191,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,2Z,90,-6440.0,4441.52131,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,STABLE,146,-528372.0,22651.770538,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,GRIFFAIN,82,-29148.0,5445.531304,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,MOVE,79,-45859.0,2260.649315,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ZEC,745,-32.69,225885.2649,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,IOTA,51,-15649.0,2056.423011,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,GMX,31,-4.22,1013.794502,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,LINK,132,7.3,32540.83036,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,kNEIRO,66,-25011.1,8166.325361,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BSV,67,-99.15,3379.78937,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AXS,104,-2755.4,7056.15996,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,RESOLV,66,-47937.0,5712.393758,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AERO,168,-3484.0,18873.00631,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,DOGE,102,23421.0,31517.64074,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,TIA,122,669.3,23479.849671,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,ZEN,53,111.16,5323.338077,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,TON,378,76.8,89210.27492,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,AIXBT,116,-39951.0,8841.765327,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,LIT,644,-7281.0,129124.8754,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,kPEPE,97,418465.0,24460.69749,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,INIT,82,-69587.0,13049.536926,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,MON,232,-130009.0,35430.515768,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,STRK,112,-38564.7,10689.671299,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ETC,107,-330.74,9074.240358,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,RUNE,61,5162.2,5000.244184,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,MANTA,57,24114.8,5507.180692,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,S,82,-28362.0,6736.553208,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BIO,59,-7305.0,4303.611506,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SUI,125,-3198.8,35792.86332,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,PAXG,78,0.489,11559.4694,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,OP,102,21632.5,10772.343807,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,XRP,82,-7527.0,35366.5613,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,TRUMP,65,1031.7,7717.09397,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SAND,33,-1382.0,1939.884348,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ALGO,106,82087.0,14509.87474,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,WLFI,36,42582.0,5134.686458,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,DOT,60,1744.5,8836.59058,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,PENDLE,158,-1946.0,24039.7199,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,TURBO,48,-1254955.0,3064.792416,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AR,179,-1224.61,21073.198057,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,CFX,35,8176.0,2595.118581,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,STX,88,4138.5,4630.850414,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,DOOD,64,42406.0,1482.870987,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SNX,68,7553.4,4854.34359,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,YGG,67,-15925.0,3463.06504,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ICP,113,-2882.0,22660.7636,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,GAS,61,-248.0,1306.32661,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ENA,118,-76317.0,26829.29589,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,XPL,74,-32413.0,17490.328026,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,CC,97,-26384.0,7970.33125,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,PUMP,90,-2155336.0,12582.401235,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,MERL,56,-98449.0,4905.427805,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,MEGA,135,-85127.0,23798.233062,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ETH,172,-1.2094,104849.6286,True
0x31ca8395cf837de08b24da3f660e77761dfb974b,MOODENG,85,-14140.0,7120.468261,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,GALA,103,833233.0,4140.223361,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ORDI,74,-1232.09,11765.403159,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,NXPC,82,2005.0,3083.80542,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,RENDER,116,1123.2,19676.91826,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BLUR,90,-32439.0,6917.499212,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SOPH,68,142783.0,2935.555335,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,BERA,88,811.0,9649.79151,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,SKY,50,23579.0,5650.466029,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,AVNT,91,-19640.0,8183.91122,False
0x31ca8395cf837de08b24da3f660e77761dfb974b,ONDO,259,-13484.0,75577.21258,True
