timestamp,open,high,low,close,volume
1778581620.0,95.32,95.33,95.29,95.33,28.22452079
1778581680.0,95.33,95.4,95.33,95.4,6.54988447
1778581740.0,95.38,95.4,95.37,95.39,1.93476303
1778581800.0,95.39,95.4,95.32,95.32,4.72082755
1778581860.0,95.33,95.34,95.29,95.29,68.78566431
1778581920.0,95.28,95.28,95.2,95.21,981.85442894
1778581980.0,95.21,95.24,95.12,95.19,582.9530146
1778582040.0,95.16,95.16,95.11,95.13,85.54254864
1778582100.0,95.12,95.16,95.08,95.16,229.85619933
1778582160.0,95.16,95.21,95.15,95.21,3.17956601
1778582220.0,95.21,95.27,95.19,95.22,1105.3984425
1778582280.0,95.22,95.27,95.22,95.25,2.14418426
1778582340.0,95.21,95.21,95.15,95.15,81.85504507
1778582400.0,95.12,95.18,95.12,95.18,53.60246835
1778582460.0,95.16,95.18,95.1,95.16,836.96901193
1778582520.0,95.18,95.19,95.08,95.09,274.55745662
1778582580.0,95.08,95.13,95.04,95.11,94.80013736
1778582640.0,95.14,95.16,95.1,95.1,89.10906376
1778582700.0,95.12,95.12,95.1,95.11,111.97857128
1778582760.0,95.1,95.1,95.0,95.03,287.61092465
1778582820.0,95.02,95.06,95.02,95.03,208.27167242
1778582880.0,95.04,95.08,94.96,95.0,732.7183911
1778582940.0,94.98,94.98,94.92,94.96,394.108994
1778583000.0,94.98,95.07,94.96,95.02,155.77466292
1778583060.0,95.02,95.07,95.0,95.02,73.5441993
1778583120.0,95.03,95.06,95.02,95.06,252.21604131
1778583180.0,95.07,95.07,95.05,95.06,20.91374463
1778583240.0,95.05,95.05,94.97,94.99,52.61435493
1778583300.0,95.0,95.0,94.92,94.95,15.3723745
1778583360.0,94.94,94.97,94.93,94.93,13.76277847
1778583420.0,94.93,94.96,94.93,94.93,4.89234733
1778583480.0,94.92,94.94,94.91,94.93,15.2513626
1778583540.0,94.97,94.97,94.92,94.92,0.45225713
1778583600.0,94.97,94.99,94.95,94.96,200.76308725
1778583660.0,94.95,94.98,94.95,94.96,1.67209489
1778583720.0,94.95,94.95,94.85,94.91,127.9507771
1778583780.0,94.91,94.98,94.87,94.97,20.44266825
1778583840.0,94.97,94.97,94.92,94.92,138.98092276
1778583900.0,94.93,94.93,94.7,94.73,7634.51793456
1778583960.0,94.7,94.75,94.68,94.74,93.50641225
1778584020.0,94.75,94.76,94.69,94.71,113.95572095
1778584080.0,94.73,94.88,94.69,94.88,141.13853095
1778584140.0,94.89,94.91,94.89,94.9,33.11445197
1778584200.0,94.9,94.97,94.89,94.89,27.55810982
1778584260.0,94.85,94.85,94.82,94.82,3.28165152
1778584320.0,94.82,94.82,94.74,94.74,18.614933
1778584380.0,94.78,94.82,94.77,94.79,181.16076003
1778584440.0,94.83,94.84,94.78,94.79,35.36229934
1778584500.0,94.78,94.78,94.7,94.73,130.70133978
1778584560.0,94.73,94.75,94.59,94.66,145.93809179
1778584620.0,94.66,94.69,94.66,94.69,50.68260035
1778584680.0,94.72,94.72,94.59,94.62,19.38085537
1778584740.0,94.61,94.67,94.61,94.66,3.29837626
1778584800.0,94.63,94.7,94.63,94.7,11.71474397
1778584860.0,94.69,94.69,94.64,94.65,5.17630311
1778584920.0,94.65,94.71,94.64,94.66,5.57469821
1778584980.0,94.66,94.67,94.66,94.67,4.79212417
1778585040.0,94.66,94.7,94.63,94.64,544.85145719
1778585100.0,94.64,94.72,94.64,94.71,6.65805178
1778585160.0,94.71,94.75,94.71,94.74,16.55061297
1778585220.0,94.74,94.74,94.69,94.7,43.35760419
1778585280.0,94.7,94.7,94.68,94.69,3.50531598
1778585340.0,94.7,94.73,94.69,94.73,21.7627039
1778585400.0,94.73,94.77,94.73,94.77,6.81408033
1778585460.0,94.78,94.81,94.75,94.8,40.04250155
1778585520.0,94.8,94.8,94.77,94.79,44.37123309
1778585580.0,94.76,94.76,94.76,94.76,12.42329188
1778585640.0,94.75,94.79,94.75,94.78,110.30793565
1778585700.0,94.77,94.77,94.75,94.76,7.30751715
1778585760.0,94.76,94.76,94.75,94.75,591.8769443
1778585820.0,94.76,94.76,94.75,94.75,393.52259522
1778585880.0,94.76,94.76,94.75,94.75,0.38987647
1778585940.0,94.76,94.78,94.76,94.78,9.16977714
1778586000.0,94.77,94.78,94.77,94.77,20.81588766
1778586060.0,94.78,94.8,94.78,94.8,1.15056
