trade_num,side,entry_price,exit_price,realized_pnl,commissions
208,FLAT,65688.81,65842.22,-10.99 USD,['15.52 USD']
209,FLAT,66213.2,65770.0,-28.38 USD,['15.43 USD']
210,FLAT,66455.03,66031.77,-27.63 USD,['15.36 USD']
211,FLAT,66734.0,66412.28000000001,-24.55 USD,['15.30 USD']
212,FLAT,67146.98,66847.14,-23.78 USD,['15.25 USD']
213,FLAT,66669.68,66528.0,-19.25 USD,['15.21 USD']
214,FLAT,66719.99,66557.99,-19.77 USD,['15.16 USD']
215,FLAT,66971.56,66767.45999999999,-20.87 USD,['15.11 USD']
216,FLAT,64423.990000000005,64520.909999999996,-12.25 USD,['15.09 USD']
217,FLAT,63305.58,63097.31,-21.22 USD,['15.03 USD']
218,FLAT,63493.990000000005,63668.189999999995,-9.88 USD,['15.02 USD']
219,FLAT,63942.409999999996,63800.09,-19.13 USD,['14.96 USD']
220,FLAT,63184.22,62929.990000000005,-22.42 USD,['14.91 USD']
221,FLAT,63367.18,63219.990000000005,-19.18 USD,['14.86 USD']
222,FLAT,58422.0,57207.38,-45.00 USD,['12.41 USD']
223,FLAT,58600.009999999995,58267.7,-25.12 USD,['14.68 USD']
224,FLAT,58015.740000000005,58815.78,10.52 USD,['14.76 USD']
225,FLAT,59751.95,59542.0,-21.11 USD,['14.66 USD']
226,FLAT,60461.939999999995,63440.0,75.13 USD,['15.00 USD']
227,FLAT,64013.340000000004,63550.009999999995,-28.18 USD,['14.77 USD']
228,FLAT,63840.02999999999,63598.0,-21.72 USD,['14.73 USD']
229,FLAT,64098.009999999995,63892.0,-20.59 USD,['14.68 USD']
230,FLAT,64340.0,64120.02,-20.88 USD,['14.62 USD']
231,FLAT,64249.41,64036.509999999995,-20.63 USD,['14.58 USD']
232,FLAT,64394.009999999995,64189.31,-20.31 USD,['14.53 USD']
233,FLAT,64540.74999999999,64405.369999999995,-18.29 USD,['14.49 USD']
234,FLAT,63755.84,63771.53999999999,-14.01 USD,['14.46 USD']
235,FLAT,61896.35999999999,62731.77,9.81 USD,['14.52 USD']
236,FLAT,63194.0,62916.009999999995,-22.35 USD,['14.41 USD']
237,FLAT,63433.98,63179.78999999999,-21.58 USD,['14.37 USD']
238,FLAT,60980.009999999995,60872.71,-17.48 USD,['14.33 USD']
239,FLAT,61150.0,60964.0,-19.72 USD,['14.28 USD']
240,FLAT,61208.32,61120.08,-16.82 USD,['14.25 USD']
241,FLAT,61328.0,61320.0,-14.45 USD,['14.22 USD']
242,FLAT,61486.0,61327.61,-18.73 USD,['14.16 USD']
243,FLAT,61746.69,61520.33,-20.59 USD,['14.11 USD']
244,FLAT,62671.990000000005,62676.0,-13.97 USD,['14.08 USD']
245,FLAT,61843.43,65821.45,98.47 USD,['14.50 USD']
246,FLAT,66088.16,66057.98000000001,-15.10 USD,['14.28 USD']
247,FLAT,65814.71,65624.56999999999,-19.38 USD,['14.23 USD']
248,FLAT,65964.0,66074.01999999999,-11.25 USD,['14.21 USD']
249,FLAT,66806.66,66454.76,-23.47 USD,['14.14 USD']
250,FLAT,67239.74,67088.9,-18.06 USD,['14.10 USD']
251,FLAT,67272.28000000001,67113.66,-18.21 USD,['14.06 USD']
252,FLAT,67060.0,66982.49,-16.06 USD,['14.03 USD']
253,FLAT,67309.2,67140.0,-18.38 USD,['13.98 USD']
254,FLAT,67511.5,67227.44,-21.27 USD,['13.93 USD']
255,FLAT,66697.58,66447.8,-20.38 USD,['13.87 USD']
256,FLAT,67243.74,67019.99,-19.59 USD,['13.83 USD']
257,FLAT,67324.01,71011.99,80.34 USD,['14.18 USD']
258,FLAT,70259.99,70033.34,-19.62 USD,['13.98 USD']
259,FLAT,70236.73999999999,70051.99,-18.52 USD,['13.93 USD']
260,FLAT,70500.5,70113.52,-23.40 USD,['13.86 USD']
261,FLAT,69798.81999999999,69606.96,-18.59 USD,['13.83 USD']
262,FLAT,69890.69,69650.0,-19.72 USD,['13.78 USD']
263,FLAT,68157.17,68616.75,-2.20 USD,['13.80 USD']
264,FLAT,68900.01,68765.62999999999,-17.09 USD,['13.74 USD']
265,FLAT,68938.72,68987.11,-12.52 USD,['13.72 USD']
266,FLAT,69233.27,69136.01,-16.07 USD,['13.67 USD']
267,FLAT,69316.17,69232.34999999999,-15.69 USD,['13.63 USD']
268,FLAT,69400.01,69274.0,-16.68 USD,['13.59 USD']
269,FLAT,69339.99,69200.0,-16.97 USD,['13.55 USD']
270,FLAT,69138.0,68919.81,-18.83 USD,['13.50 USD']
271,FLAT,69073.99,69211.57,-10.13 USD,['13.49 USD']
272,FLAT,68804.01999999999,68523.68,-20.28 USD,['13.43 USD']
273,FLAT,68484.15000000001,68207.75,-20.14 USD,['13.38 USD']
274,FLAT,68671.97,68584.73,-15.47 USD,['13.35 USD']
275,FLAT,67920.26,67821.88,-15.72 USD,['13.31 USD']
276,FLAT,68092.47,67862.98999999999,-18.86 USD,['13.26 USD']
277,FLAT,68600.98999999999,68473.03,-16.32 USD,['13.23 USD']
278,FLAT,68673.97,68530.0,-16.64 USD,['13.18 USD']
279,FLAT,68525.75,68201.0,-20.92 USD,['13.13 USD']
